,Track Name,Artist,Position,Streams,URL,Date,Region
0,Bad and Boujee (feat. Lil Uzi Vert),Migos,1,1371493,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,us
1397,Fake Love,Drake,2,1180074,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,us
3006,Starboy,The Weeknd,3,1064351,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,us
5568,Closer,The Chainsmokers,4,1010492,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,us
8269,Black Beatles,Rae Sremmurd,5,874289,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,us
9217,Broccoli (feat. Lil Yachty),DRAM,6,763259,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2017-01-01,us
9888,One Dance,Drake,7,753150,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,us
12573,Caroline,Aminé,8,714839,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,2017-01-01,us
13286,Let Me Love You,DJ Snake,9,690483,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,us
15318,Bounce Back,Big Sean,10,682688,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2017-01-01,us
16417,I Feel It Coming,The Weeknd,11,651807,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,us
18817,24K Magic,Bruno Mars,12,574974,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,us
20558,Bad Things (with Camila Cabello),Machine Gun Kelly,13,567789,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01,us
21364,X (feat. Future),21 Savage,14,544620,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2017-01-01,us
21724,Don't Wanna Know,Maroon 5,16,486364,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,us
23041,Chill Bill,Rob $tone,17,485127,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,2017-01-01,us
23349,Deja Vu,J. Cole,18,478503,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2017-01-01,us
23690,OOOUUU,Young M.A,19,456308,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,2017-01-01,us
23760,Party Monster,The Weeknd,20,456291,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2017-01-01,us
24254,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,21,449345,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,2017-01-01,us
24654,No Heart,21 Savage,22,447063,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,2017-01-01,us
24921,Starving,Hailee Steinfeld,23,446785,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,us
26570,Don't Let Me Down,The Chainsmokers,24,446177,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,us
28544,Side To Side,Ariana Grande,25,440123,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,us
30172,Treat You Better,Shawn Mendes,26,438954,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,us
32045,In the Name of Love,Martin Garrix,27,435945,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,us
33545,Sneakin’,Drake,28,419434,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,2017-01-01,us
33698,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,29,417329,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,us
35780,Work from Home,Fifth Harmony,30,405483,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,us
36733,Heathens,Twenty One Pilots,31,401620,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,us
37878,You Was Right,Lil Uzi Vert,32,401546,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2017-01-01,us
38159,Into You,Ariana Grande,33,370887,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,2017-01-01,us
38625,Too Good,Drake,34,368536,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,2017-01-01,us
39165,Controlla,Drake,35,365140,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,2017-01-01,us
39616,This Is What You Came For,Calvin Harris,36,362959,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-01-01,us
40621,Say You Won't Let Go,James Arthur,37,361392,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,us
43154,All We Know,The Chainsmokers,38,351014,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,us
43767,pick up the phone,Young Thug,39,350286,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,2017-01-01,us
44146,iSpy (feat. Lil Yachty),KYLE,40,349836,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2017-01-01,us
45520,Cheap Thrills,Sia,41,345244,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,us
46903,Needed Me,Rihanna,42,342524,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,2017-01-01,us
47263,Cold Water (feat. Justin Bieber & MØ),Major Lazer,43,342437,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,us
48977,Panda,Desiigner,44,332310,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01,us
49686,Scars To Your Beautiful,Alessia Cara,45,331379,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-01,us
50833,Mercy,Shawn Mendes,46,323626,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,us
52344,Neighbors,J. Cole,47,317884,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,2017-01-01,us
52634,Work,Rihanna,48,316050,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2017-01-01,us
53090,Call On Me - Ryan Riback Extended Remix,Starley,49,313819,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,us
55285,Swang,Rae Sremmurd,50,308264,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2017-01-01,us
55713,Six Feet Under,The Weeknd,51,307482,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2017-01-01,us
55826,"How Far I'll Go - From ""Moana""",Alessia Cara,52,305401,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-01,us
57397,Send My Love (To Your New Lover),Adele,53,302383,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,2017-01-01,us
57784,Love Me Now,John Legend,54,301472,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01,us
58393,Love Yourself,Justin Bieber,55,300179,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2017-01-01,us
60046,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,56,299010,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,2017-01-01,us
60178,Jumpman,Drake,57,297396,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,2017-01-01,us
60389,Sidewalks,The Weeknd,58,295550,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2017-01-01,us
60540,I Want You Back,The Jackson 5,59,284664,https://open.spotify.com/track/3b0EOvScbZUc0qJx0E1L2z,2017-01-01,us
60569,Cake By The Ocean,DNCE,60,282236,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2017-01-01,us
61228,Low Life,Future,61,278813,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,2017-01-01,us
61502,goosebumps,Travis Scott,62,276401,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2017-01-01,us
62545,Redbone,Childish Gambino,63,272870,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2017-01-01,us
63944,Just Hold On,Steve Aoki,64,272841,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,us
65186,Billie Jean,Michael Jackson,65,269981,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,2017-01-01,us
65218,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,66,265739,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,us
67878,Immortal,J. Cole,67,264865,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,2017-01-01,us
67968,Ride,Twenty One Pilots,68,264707,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2017-01-01,us
68825,Ain't No Mountain High Enough,Marvin Gaye,69,260834,https://open.spotify.com/track/2H3ZUSE54pST4ubRd5FzFR,2017-01-01,us
68842,Money Longer,Lil Uzi Vert,70,259985,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,2017-01-01,us
69198,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,71,258637,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,2017-01-01,us
69755,No Role Modelz,J. Cole,72,253285,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2017-01-01,us
70462,Used to This,Future,73,249166,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,2017-01-01,us
70540,Chantaje,Shakira,74,244295,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,us
72287,Pumped Up Kicks,Foster The People,75,242742,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,2017-01-01,us
73030,Some Kind Of Drug,G-Eazy,76,236873,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2017-01-01,us
73195,Too Much Sauce,DJ Esco,77,235274,https://open.spotify.com/track/5oyUurs28XRagLa8lgm6V3,2017-01-01,us
73245,Now and Later,Sage The Gemini,78,233690,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-01,us
73974,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,79,233185,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,us
75498,"Happy - From ""Despicable Me 2""",Pharrell Williams,80,233169,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,2017-01-01,us
75509,Reminder,The Weeknd,81,232197,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,2017-01-01,us
75800,All Time Low,Jon Bellion,82,231839,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-01,us
76829,One Night,Lil Yachty,83,227622,https://open.spotify.com/track/40yJGQyEaBbIkXpwMFkXip,2017-01-01,us
76947,Paper Planes,M.I.A.,84,227569,https://open.spotify.com/track/1kusepF3AacIEtUTYrw4GV,2017-01-01,us
76957,Stressed Out,Twenty One Pilots,85,227187,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,2017-01-01,us
78039,Titanium (feat. Sia),David Guetta,86,226512,https://open.spotify.com/track/2dOTkLZFbpNXrhc24CnTFd,2017-01-01,us
78169,Bohemian Rhapsody - Remastered 2011,Queen,87,223789,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,2017-01-01,us
78532,White Iverson,Post Malone,88,221512,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,2017-01-01,us
79472,All Night,The Vamps,89,220922,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01,us
80801,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,90,219337,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-01,us
80980,"Me, Myself & I",G-Eazy,91,217132,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,2017-01-01,us
81130,"i hate u, i love u (feat. olivia o'brien)",gnash,92,216032,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2017-01-01,us
81821,Too Many Years,Kodak Black,93,215772,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz,2017-01-01,us
82002,Love On The Brain,Rihanna,94,215035,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2017-01-01,us
82587,Change,J. Cole,95,214737,https://open.spotify.com/track/3pjUyVbFmM96tYhSaKJwTt,2017-01-01,us
82613,Don't,Bryson Tiller,96,213378,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,2017-01-01,us
82969,Water,Ugly God,97,210924,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt,2017-01-01,us
83105,Rich Girl,Daryl Hall & John Oates,98,210173,https://open.spotify.com/track/0qRR9d89hIS0MHRkQ0ejxX,2017-01-01,us
83108,Erase Your Social,Lil Uzi Vert,99,208263,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN,2017-01-01,us
83268,Never Be Like You,Flume,100,207102,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,2017-01-01,us
83690,The Mack,Nevada,101,206028,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-01,us
84233,Gold,Kiiara,102,205831,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr,2017-01-01,us
84337,Exchange,Bryson Tiller,103,205357,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,2017-01-01,us
84673,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,104,205345,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,2017-01-01,us
85294,You Make My Dreams - Remastered,Daryl Hall & John Oates,105,204880,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk,2017-01-01,us
85343,Die For You,The Weeknd,106,203645,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2017-01-01,us
85473,Selfish,PnB Rock,107,201991,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw,2017-01-01,us
85705,Weak,AJR,108,200498,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-01,us
87157,Come and See Me (feat. Drake),PARTYNEXTDOOR,109,200095,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd,2017-01-01,us
87323,Twist And Shout - Remastered 2009,The Beatles,110,198226,https://open.spotify.com/track/4Z1fbYp0HuxLBje4MOZcSD,2017-01-01,us
87329,Make Me (Cry),Noah Cyrus,111,196528,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2017-01-01,us
87716,No Flockin,Kodak Black,112,196193,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4,2017-01-01,us
87930,Father Stretch My Hands Pt. 1,Kanye West,113,195965,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8,2017-01-01,us
87995,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,fun.,114,194870,https://open.spotify.com/track/5rgy6ghBq1eRApCkeUdJXf,2017-01-01,us
87998,Respect,Aretha Franklin,115,194667,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,2017-01-01,us
88007,Litty (feat. Tory Lanez),Meek Mill,116,194516,https://open.spotify.com/track/5J5PXmMdQ2nh1lZOal8KmK,2017-01-01,us
88083,Congratulations,Post Malone,117,192751,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2017-01-01,us
90711,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,118,189619,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,us
92173,Superstition - Single Version,Stevie Wonder,119,189573,https://open.spotify.com/track/5lXcSvHRVjQJ3LB2rLKQog,2017-01-01,us
92232,Sorry,Justin Bieber,120,186703,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-01-01,us
93358,Uber Everywhere,MadeinTYO,121,186602,https://open.spotify.com/track/7zBPzAjKAqQpcv8F8GCq5s,2017-01-01,us
93370,Pop Style,Drake,122,184790,https://open.spotify.com/track/1WRy5l3TwrwlzNmB5bOeKw,2017-01-01,us
93422,Sunset Lover,Petit Biscuit,123,184278,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-01,us
94233,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,124,183966,https://open.spotify.com/track/3M5eeHXgG4VplKNcsBC8Dj,2017-01-01,us
94240,You Can Call Me Al,Paul Simon,125,183669,https://open.spotify.com/track/0qxYx4F3vm1AOnfux6dDxP,2017-01-01,us
94244,Moves,Big Sean,126,183502,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS,2017-01-01,us
94525,That's What I Like,Bruno Mars,127,183494,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-01-01,us
96926,The Hills,The Weeknd,128,183262,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,2017-01-01,us
97086,Hotline Bling,Drake,129,183047,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,2017-01-01,us
97267,Roses,The Chainsmokers,131,182217,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,2017-01-01,us
97372,Deja Vu,Post Malone,132,181649,https://open.spotify.com/track/0H8XeaJunhvpBdBFIYi6Sh,2017-01-01,us
97533,Setting Fires,The Chainsmokers,133,181113,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,2017-01-01,us
97734,Don't Stop Me Now - Remastered,Queen,134,179775,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2017-01-01,us
97754,You Shook Me All Night Long,AC/DC,135,178791,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,2017-01-01,us
97760,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,136,176547,https://open.spotify.com/track/6v3xCVgM73PGb0JIlF264a,2017-01-01,us
97774,Light,San Holo,137,176446,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,2017-01-01,us
97932,P.Y.T. (Pretty Young Thing),Michael Jackson,138,176354,https://open.spotify.com/track/5lA3pwMkBdd24StM90QrNR,2017-01-01,us
97933,Famous,Kanye West,139,176291,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8,2017-01-01,us
98061,Brown Eyed Girl,Van Morrison,140,175044,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,2017-01-01,us
98069,Call Me Maybe,Carly Rae Jepsen,141,174945,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,2017-01-01,us
98072,Water Under the Bridge,Adele,142,174085,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,2017-01-01,us
98911,Tiimmy Turner,Desiigner,143,173977,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0,2017-01-01,us
98940,My House,Flo Rida,144,173343,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1,2017-01-01,us
98989,Say It (feat. Tove Lo),Flume,145,171093,https://open.spotify.com/track/4sQMalN597HdggTu196aL0,2017-01-01,us
99202,Purple Lamborghini (with Rick Ross),Skrillex,146,171058,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ,2017-01-01,us
99204,Secrets,The Weeknd,147,170453,https://open.spotify.com/track/3DX4Y0egvc0slLcLl31h2p,2017-01-01,us
99239,7 Years,Lukas Graham,148,170245,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,2017-01-01,us
99947,My Girl,The Temptations,149,170168,https://open.spotify.com/track/6RrXd9Hph4hYR4bf3dbM6H,2017-01-01,us
99951,Feel So Close - Radio Edit,Calvin Harris,150,169357,https://open.spotify.com/track/7EOYLyD4pP4YJVgoVeKUQ1,2017-01-01,us
99952,Antidote,Travis Scott,151,169297,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq,2017-01-01,us
100031,True Colors,The Weeknd,152,168726,https://open.spotify.com/track/6i759FCuKx713ZnYjtpQGU,2017-01-01,us
100074,Gassed Up,Nebu Kiniza,153,167151,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO,2017-01-01,us
100262,Capsize,FRENSHIP,154,166898,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,2017-01-01,us
100806,I Would Like,Zara Larsson,155,166846,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-01,us
101688,PILLOWTALK,ZAYN,156,165974,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,2017-01-01,us
101934,Lot to Learn,Luke Christopher,158,164741,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,2017-01-01,us
102433,No Type,Rae Sremmurd,159,164642,https://open.spotify.com/track/4scpF6J5uMBvoh6sFB7EL1,2017-01-01,us
102467,Wicked,Future,160,164503,https://open.spotify.com/track/6BbINUfGabVyiNFJpQXn3x,2017-01-01,us
102468,Cut It (feat. Young Dolph),O.T. Genasis,162,163667,https://open.spotify.com/track/376KnY4TrgBITxjlnbnmIy,2017-01-01,us
102469,What They Want,Russ,163,163498,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv,2017-01-01,us
102807,Rockin’,The Weeknd,164,163129,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,2017-01-01,us
102885,LUV,Tory Lanez,165,162888,https://open.spotify.com/track/16Ah4QqH4mgYVXqfC4mdSd,2017-01-01,us
102926,Hymn For The Weekend - Seeb Remix,Coldplay,166,161981,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-01,us
103539,oui,Jeremih,167,160755,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ,2017-01-01,us
103589,My Way,Calvin Harris,168,159846,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,us
104778,My Shit,A Boogie Wit da Hoodie,169,159333,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,2017-01-01,us
104873,Still Here,Drake,170,158154,https://open.spotify.com/track/433P7tDcIAi6NLnf4Sh6tI,2017-01-01,us
104921,You & Me,Marc E. Bassy,171,157927,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,2017-01-01,us
104962,Should I Stay or Should I Go - Remastered,The Clash,172,157705,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,2017-01-01,us
104969,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,173,157253,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-01,us
105268,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,174,155772,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,2017-01-01,us
105812,Stand By Me,Otis Redding,175,154347,https://open.spotify.com/track/1aj4GXfmEYXfdVZohCpNKu,2017-01-01,us
105813,Trap Queen,Fetty Wap,176,151754,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ,2017-01-01,us
105817,Me and Julio Down by the Schoolyard,Paul Simon,177,151657,https://open.spotify.com/track/6vxHp3CDNo0afgKGp2yi1E,2017-01-01,us
105823,Party,Chris Brown,178,151474,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk,2017-01-01,us
106084,Don't Worry Be Happy,Bobby McFerrin,179,151217,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY,2017-01-01,us
106085,By Your Side,Jonas Blue,180,151106,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01,us
106983,I Got You,Bebe Rexha,181,151059,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2017-01-01,us
108001,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,182,150458,https://open.spotify.com/track/0q5DrtpnnGpOvBy5nnPMbe,2017-01-01,us
108076,Lighthouse - Andrelli Remix,Hearts & Colors,183,149929,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,2017-01-01,us
108405,Middle,DJ Snake,184,149265,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2017-01-01,us
108744,Really Really,Kevin Gates,185,149053,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o,2017-01-01,us
108766,ABC,The Jackson 5,186,148305,https://open.spotify.com/track/6cb0HzFQPN4BGADOmSzPCw,2017-01-01,us
108769,Good Drank,2 Chainz,187,146863,https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV,2017-01-01,us
108899,Wyclef Jean,Young Thug,188,145905,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b,2017-01-01,us
108992,(What A) Wonderful World - Remastered,Sam Cooke,189,145484,https://open.spotify.com/track/27K3ZDS5B4fwjhwyihrdzC,2017-01-01,us
108993,Living Single,Big Sean,190,144979,https://open.spotify.com/track/36xxq7VDZZsGwARsn6Clo7,2017-01-01,us
109020,Let Me Explain,Bryson Tiller,191,144864,https://open.spotify.com/track/1trZGMI2CGyVT44STkpCoN,2017-01-01,us
109049,Go Flex,Post Malone,192,144845,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,2017-01-01,us
109931,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,193,144843,https://open.spotify.com/track/7fSGbZLhWlAiCC3HDPAULu,2017-01-01,us
109932,She's Mine Pt. 1,J. Cole,194,144501,https://open.spotify.com/track/0HtOJj7Kl74s1Ngf3MWeif,2017-01-01,us
109948,False Alarm,The Weeknd,195,144393,https://open.spotify.com/track/32lgtADX2cB9I4KFs1Y1py,2017-01-01,us
109967,Ignition - Remix,R. Kelly,196,144377,https://open.spotify.com/track/5dNfHmqgr128gMY2tc5CeJ,2017-01-01,us
110688,679 (feat. Remy Boyz),Fetty Wap,197,143877,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ,2017-01-01,us
110692,I Don't Fuck With You,Big Sean,198,143847,https://open.spotify.com/track/4w7yrP4RAeeyhfG9nJqQvS,2017-01-01,us
110694,You Can't Hurry Love - 2016 Remastered,Phil Collins,199,143813,https://open.spotify.com/track/4YwbSZaYeYja8Umyt222Qf,2017-01-01,us
110696,For Free,DJ Khaled,200,143765,https://open.spotify.com/track/5TqBAOIBe0bQA0spNdcG3k,2017-01-01,us
110697,Both (feat. Drake),Gucci Mane,107,184948,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux,2017-01-02,us
110976,This Town,Niall Horan,110,177645,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,2017-01-02,us
111678,Somebody Else,VÉRITÉ,133,155816,https://open.spotify.com/track/34i4yxPrHWquuR4kjiivFO,2017-01-02,us
111760,For Whom The Bell Tolls,J. Cole,137,154773,https://open.spotify.com/track/3MWlVSkoLS1e66nlZ2tuWJ,2017-01-02,us
111771,4 Your Eyez Only,J. Cole,139,153965,https://open.spotify.com/track/1vvnYpYEMVB4aq9I6tHIEB,2017-01-02,us
111786,Ville Mentality,J. Cole,142,153407,https://open.spotify.com/track/2z3joGXrdGL2iEjIKQTiN1,2017-01-02,us
111798,All I Know,The Weeknd,152,146651,https://open.spotify.com/track/0NWqNXBJTpXbkI5rPWNy3p,2017-01-02,us
111822,How Far I'll Go,Auli'i Cravalho,153,145596,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd,2017-01-02,us
112018,Solo Dance,Martin Jensen,158,142800,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-01-02,us
114240,Baptized In Fire,Kid Cudi,161,139543,https://open.spotify.com/track/6WSBZroxQaO3FYEpT2ACFH,2017-01-02,us
